observation_date	PCECC96
2009-01-01	10522.083
2009-04-01	10470.358
2009-07-01	10540.769
2009-10-01	10529.156
2010-01-01	10590.177
2010-04-01	10685.145
2010-07-01	10761.376
2010-10-01	10827.332
2011-01-01	10868.689
2011-04-01	10879.873
2011-07-01	10912.991
2011-10-01	10931.828
2012-01-01	11010.694
2012-04-01	11030.026
2012-07-01	11052.368
2012-10-01	11096.365
2013-01-01	11155.481
2013-04-01	11172.647
2013-07-01	11214.417
2013-10-01	11304.300
2014-01-01	11347.636
2014-04-01	11453.014
2014-07-01	11565.682
2014-10-01	11694.917
2015-01-01	11772.949
2015-04-01	11852.652
2015-07-01	11943.043
2015-10-01	12003.146
2016-01-01	12091.178
2016-04-01	12152.627
2016-07-01	12223.822
2016-10-01	12283.076
2017-01-01	12372.247
2017-04-01	12430.081
2017-07-01	12500.402
2017-10-01	12631.980
2018-01-01	12707.641
2018-04-01	12816.396
2018-07-01	12900.579
2018-10-01	12955.501
