observation_date	PAYNSA
1975-01-01	76189
1975-02-01	75764
1975-03-01	75808
1975-04-01	76142
1975-05-01	76774
1975-06-01	77270
1975-07-01	76592
1975-08-01	77120
1975-09-01	77726
1975-10-01	78283
1975-11-01	78437
1975-12-01	78726
1976-01-01	77376
1976-02-01	77605
1976-03-01	78214
1976-04-01	79042
1976-05-01	79534
1976-06-01	80164
1976-07-01	79393
1976-08-01	79659
1976-09-01	80362
1976-10-01	80593
1976-11-01	80953
1976-12-01	81129
1977-01-01	79540
1977-02-01	79747
1977-03-01	80604
1977-04-01	81539
1977-05-01	82376
1977-06-01	83338
1977-07-01	82677
1977-08-01	82971
1977-09-01	83922
1977-10-01	84423
1977-11-01	84868
1977-12-01	85105
1978-01-01	83442
1978-02-01	83738
1978-03-01	84732
1978-04-01	86037
1978-05-01	86842
1978-06-01	87830
1978-07-01	87002
1978-08-01	87305
1978-09-01	87932
1978-10-01	88549
1978-11-01	89099
1978-12-01	89408
1979-01-01	87650
1979-02-01	87889
1979-03-01	88792
1979-04-01	89313
1979-05-01	90126
1979-06-01	90971
1979-07-01	89976
1979-08-01	90072
1979-09-01	90616
1979-10-01	91089
1979-11-01	91287
1979-12-01	91415
1980-01-01	89631
1980-02-01	89764
1980-03-01	90324
1980-04-01	90747
1980-05-01	90763
1980-06-01	90922
1980-07-01	89582
1980-08-01	89865
1980-09-01	90530
1980-10-01	91128
1980-11-01	91475
1980-12-01	91661
1981-01-01	89837
1981-02-01	89985
1981-03-01	90520
1981-04-01	91157
1981-05-01	91647
1981-06-01	92296
1981-07-01	91371
1981-08-01	91378
1981-09-01	91876
1981-10-01	92054
1981-11-01	91888
1981-12-01	91555
1982-01-01	89328
1982-02-01	89417
1982-03-01	89710
1982-04-01	89993
1982-05-01	90478
1982-06-01	90669
1982-07-01	89338
1982-08-01	89212
1982-09-01	89628
1982-10-01	89598
1982-11-01	89495
1982-12-01	89396
1983-01-01	87729
1983-02-01	87741
1983-03-01	88344
1983-04-01	89187
1983-05-01	90019
1983-06-01	90844
1983-07-01	90271
1983-08-01	89998
1983-09-01	91719
1983-10-01	92233
1983-11-01	92592
1983-12-01	92863
1984-01-01	91374
1984-02-01	91940
1984-03-01	92659
1984-04-01	93614
1984-05-01	94489
1984-06-01	95305
1984-07-01	94607
1984-08-01	94888
1984-09-01	95808
1984-10-01	96362
1984-11-01	96738
1984-12-01	96793
1985-01-01	95049
1985-02-01	95259
1985-03-01	96055
1985-04-01	96875
1985-05-01	97726
1985-06-01	98279
1985-07-01	97418
1985-08-01	97667
1985-09-01	98476
1985-10-01	98987
1985-11-01	99240
1985-12-01	99356
1986-01-01	97397
1986-02-01	97590
1986-03-01	98138
1986-04-01	98973
1986-05-01	99667
1986-06-01	99973
1986-07-01	99219
1986-08-01	99393
1986-09-01	100317
1986-10-01	100886
1986-11-01	101141
1986-12-01	101300
1987-01-01	99334
1987-02-01	99657
1987-03-01	100367
1987-04-01	101369
1987-05-01	102135
1987-06-01	102742
1987-07-01	101990
1987-08-01	102219
1987-09-01	102986
1987-10-01	103893
1987-11-01	104232
1987-12-01	104472
1988-01-01	102380
1988-02-01	102951
1988-03-01	103693
1988-04-01	104587
1988-05-01	105347
1988-06-01	106208
1988-07-01	105315
1988-08-01	105477
1988-09-01	106341
1988-10-01	107013
1988-11-01	107500
1988-12-01	107722
1989-01-01	105743
1989-02-01	106170
1989-03-01	106813
1989-04-01	107611
1989-05-01	108294
1989-06-01	108937
1989-07-01	107848
1989-08-01	107927
1989-09-01	108724
1989-10-01	109217
1989-11-01	109657
1989-12-01	109666
1990-01-01	107573
1990-02-01	108069
1990-03-01	108724
1990-04-01	109365
1990-05-01	110270
1990-06-01	110837
1990-07-01	109567
1990-08-01	109449
1990-09-01	110044
1990-10-01	110240
1990-11-01	110203
1990-12-01	109974
1991-01-01	107425
1991-02-01	107393
1991-03-01	107682
1991-04-01	108070
1991-05-01	108752
1991-06-01	109233
1991-07-01	108031
1991-08-01	108123
1991-09-01	108840
1991-10-01	109210
1991-11-01	109226
1991-12-01	109110
1992-01-01	106723
1992-02-01	106977
1992-03-01	107495
1992-04-01	108330
1992-05-01	109137
1992-06-01	109626
1992-07-01	108608
1992-08-01	108664
1992-09-01	109449
1992-10-01	110036
1992-11-01	110276
1992-12-01	110265
1993-01-01	108099
1993-02-01	108702
1993-03-01	109136
1993-04-01	110140
1993-05-01	111103
1993-06-01	111693
1993-07-01	110825
1993-08-01	110936
1993-09-01	111925
1993-10-01	112591
1993-11-01	112934
1993-12-01	113085
1994-01-01	110833
1994-02-01	111414
1994-03-01	112389
1994-04-01	113469
1994-05-01	114480
1994-06-01	115270
1994-07-01	114325
1994-08-01	114633
1994-09-01	115693
1994-10-01	116318
1994-11-01	116926
1994-12-01	116964
1995-01-01	114656
1995-02-01	115314
1995-03-01	116069
1995-04-01	116902
1995-05-01	117625
1995-06-01	118341
1995-07-01	117106
1995-08-01	117370
1995-09-01	118285
1995-10-01	118886
1995-11-01	119125
1995-12-01	119123
1996-01-01	116423
1996-02-01	117363
1996-03-01	118167
1996-04-01	119005
1996-05-01	120132
1996-06-01	120796
1996-07-01	119759
1996-08-01	120051
1996-09-01	120796
1996-10-01	121516
1996-11-01	121976
1996-12-01	121954
1997-01-01	119412
1997-02-01	120273
1997-03-01	121156
1997-04-01	122131
1997-05-01	123212
1997-06-01	123861
1997-07-01	122877
1997-08-01	122944
1997-09-01	123949
1997-10-01	124852
1997-11-01	125245
1997-12-01	125383
1998-01-01	122832
1998-02-01	123608
1998-03-01	124330
1998-04-01	125372
1998-05-01	126456
1998-06-01	127119
1998-07-01	126046
1998-08-01	126288
1998-09-01	127098
1998-10-01	127876
1998-11-01	128279
1998-12-01	128448
1999-01-01	125697
1999-02-01	126685
1999-03-01	127398
1999-04-01	128543
1999-05-01	129411
1999-06-01	130138
1999-07-01	129269
1999-08-01	129324
1999-09-01	130102
1999-10-01	131037
1999-11-01	131497
1999-12-01	131634
2000-01-01	128992
2000-02-01	129655
2000-03-01	130751
2000-04-01	131749
2000-05-01	132705
2000-06-01	133217
2000-07-01	131998
2000-08-01	132009
2000-09-01	132677
2000-10-01	133236
2000-11-01	133600
2000-12-01	133542
2001-01-01	130668
2001-02-01	131334
2001-03-01	131929
2001-04-01	132335
2001-05-01	133042
2001-06-01	133420
2001-07-01	131932
2001-08-01	131861
2001-09-01	132127
2001-10-01	132329
2001-11-01	132141
2001-12-01	131759
2002-01-01	128875
2002-02-01	129347
2002-03-01	129954
2002-04-01	130543
2002-05-01	131314
2002-06-01	131696
2002-07-01	130254
2002-08-01	130340
2002-09-01	130860
2002-10-01	131530
2002-11-01	131651
2002-12-01	131243
2003-01-01	128561
2003-02-01	128978
2003-03-01	129474
2003-04-01	130132
2003-05-01	130892
2003-06-01	131222
2003-07-01	129883
2003-08-01	129936
2003-09-01	130591
2003-10-01	131384
2003-11-01	131548
2003-12-01	131368
2004-01-01	128709
2004-02-01	129320
2004-03-01	130361
2004-04-01	131477
2004-05-01	132380
2004-06-01	132825
2004-07-01	131664
2004-08-01	131685
2004-09-01	132400
2004-10-01	133380
2004-11-01	133631
2004-12-01	133400
2005-01-01	130696
2005-02-01	131519
2005-03-01	132358
2005-04-01	133572
2005-05-01	134385
2005-06-01	135054
2005-07-01	133993
2005-08-01	134244
2005-09-01	134871
2005-10-01	135599
2005-11-01	136157
2005-12-01	135956
2006-01-01	133303
2006-02-01	134228
2006-03-01	135209
2006-04-01	136123
2006-05-01	136928
2006-06-01	137432
2006-07-01	136255
2006-08-01	136462
