observation_date	OPHNFB
1947-01-01	23.213
1947-04-01	23.743
1947-07-01	23.015
1947-10-01	23.988
1948-01-01	24.095
1948-04-01	24.033
1948-07-01	24.058
1948-10-01	24.163
1949-01-01	24.410
1949-04-01	24.668
1949-07-01	25.251
1949-10-01	25.112
1950-01-01	25.970
1950-04-01	26.289
1950-07-01	26.857
1950-10-01	26.906
1951-01-01	26.937
1951-04-01	26.853
1951-07-01	27.458
1951-10-01	27.539
1952-01-01	27.680
1952-04-01	27.625
1952-07-01	27.489
1952-10-01	28.062
1953-01-01	28.304
1953-04-01	28.373
1953-07-01	28.494
1953-10-01	28.399
1954-01-01	28.459
1954-04-01	28.659
1954-07-01	29.177
1954-10-01	29.503
1955-01-01	30.081
1955-04-01	30.186
1955-07-01	30.297
1955-10-01	30.186
1956-01-01	29.824
1956-04-01	29.970
1956-07-01	29.964
1956-10-01	30.286
1957-01-01	30.634
1957-04-01	30.512
1957-07-01	30.942
1957-10-01	31.051
1958-01-01	30.630
1958-04-01	31.214
1958-07-01	31.799
1958-10-01	32.338
1959-01-01	32.375
1959-04-01	32.686
1959-07-01	32.730
1959-10-01	32.627
1960-01-01	33.389
1960-04-01	32.871
1960-07-01	33.069
1960-10-01	32.636
1961-01-01	33.055
1961-04-01	33.926
1961-07-01	34.504
1961-10-01	34.795
1962-01-01	35.366
1962-04-01	35.223
1962-07-01	35.811
1962-10-01	36.083
1963-01-01	36.187
1963-04-01	36.462
1963-07-01	37.359
1963-10-01	37.331
1964-01-01	37.618
1964-04-01	37.827
1964-07-01	38.218
1964-10-01	37.850
1965-01-01	38.389
1965-04-01	38.566
1965-07-01	39.353
1965-10-01	40.037
1966-01-01	40.579
1966-04-01	40.296
1966-07-01	40.429
1966-10-01	40.686
1967-01-01	41.010
1967-04-01	41.168
1967-07-01	41.380
1967-10-01	41.499
1968-01-01	42.428
1968-04-01	42.823
1968-07-01	42.843
1968-10-01	42.740
1969-01-01	43.082
1969-04-01	42.730
1969-07-01	42.780
1969-10-01	42.575
1970-01-01	42.710
1970-04-01	43.342
1970-07-01	44.028
1970-10-01	43.628
1971-01-01	44.917
1971-04-01	45.046
1971-07-01	45.476
1971-10-01	45.079
1972-01-01	45.785
1972-04-01	46.690
1972-07-01	46.961
1972-10-01	47.363
1973-01-01	48.431
1973-04-01	48.448
1973-07-01	47.992
1973-10-01	47.694
1974-01-01	47.587
1974-04-01	47.447
1974-07-01	46.965
1974-10-01	47.394
1975-01-01	47.771
1975-04-01	48.536
1975-07-01	49.129
1975-10-01	49.173
1976-01-01	49.902
1976-04-01	50.370
1976-07-01	50.492
1976-10-01	50.639
1977-01-01	50.963
1977-04-01	51.165
1977-07-01	51.702
1977-10-01	51.043
1978-01-01	51.065
1978-04-01	52.073
1978-07-01	52.107
1978-10-01	52.446
1979-01-01	51.972
1979-04-01	51.876
1979-07-01	51.805
1979-10-01	51.753
1980-01-01	52.004
1980-04-01	51.471
1980-07-01	51.680
1980-10-01	52.201
1981-01-01	53.009
1981-04-01	52.325
1981-07-01	52.830
1981-10-01	52.280
1982-01-01	52.041
1982-04-01	52.046
1982-07-01	52.143
1982-10-01	52.584
1983-01-01	53.260
1983-04-01	54.411
1983-07-01	54.654
1983-10-01	54.948
1984-01-01	55.151
1984-04-01	55.479
1984-07-01	55.729
1984-10-01	55.798
1985-01-01	55.965
1985-04-01	56.143
1985-07-01	56.856
1985-10-01	57.084
1986-01-01	57.771
1986-04-01	58.223
1986-07-01	58.472
1986-10-01	58.351
1987-01-01	58.084
1987-04-01	58.487
1987-07-01	58.497
1987-10-01	59.065
1988-01-01	59.271
1988-04-01	59.416
1988-07-01	59.577
1988-10-01	59.717
1989-01-01	59.751
1989-04-01	59.940
1989-07-01	60.231
1989-10-01	60.241
1990-01-01	60.807
1990-04-01	61.233
1990-07-01	61.430
1990-10-01	60.791
1991-01-01	60.985
1991-04-01	61.971
1991-07-01	62.505
1991-10-01	62.798
1992-01-01	64.051
1992-04-01	64.601
1992-07-01	65.173
1992-10-01	65.570
1993-01-01	65.004
1993-04-01	64.621
1993-07-01	64.901
1993-10-01	65.156
1994-01-01	65.351
1994-04-01	65.404
1994-07-01	65.032
1994-10-01	65.722
1995-01-01	65.771
1995-04-01	66.088
1995-07-01	66.076
1995-10-01	66.445
1996-01-01	66.866
1996-04-01	67.511
1996-07-01	67.757
1996-10-01	67.813
1997-01-01	67.674
1997-04-01	68.676
1997-07-01	69.245
1997-10-01	69.591
1998-01-01	70.222
1998-04-01	70.613
1998-07-01	71.556
1998-10-01	72.110
1999-01-01	73.117
1999-04-01	73.368
1999-07-01	74.066
1999-10-01	75.145
2000-01-01	74.858
2000-04-01	76.290
2000-07-01	76.272
2000-10-01	77.032
2001-01-01	76.634
2001-04-01	77.960
2001-07-01	78.424
2001-10-01	79.400
2002-01-01	81.056
2002-04-01	81.217
2002-07-01	81.808
2002-10-01	81.724
2003-01-01	82.515
2003-04-01	83.610
2003-07-01	85.434
2003-10-01	86.220
2004-01-01	86.022
2004-04-01	86.907
2004-07-01	87.254
2004-10-01	87.691
2005-01-01	88.704
2005-04-01	88.535
2005-07-01	89.078
2005-10-01	89.162
2006-01-01	89.822
2006-04-01	89.665
2006-07-01	89.389
2006-10-01	90.123
2007-01-01	90.355
2007-04-01	90.659
2007-07-01	91.519
2007-10-01	92.258
2008-01-01	91.642
2008-04-01	92.669
2008-07-01	92.875
2008-10-01	92.332
2009-01-01	93.196
2009-04-01	95.166
2009-07-01	96.432
2009-10-01	97.918
2010-01-01	98.459
2010-04-01	98.613
2010-07-01	99.153
2010-10-01	99.568
2011-01-01	98.894
2011-04-01	99.012
2011-07-01	98.693
2011-10-01	99.374
2012-01-01	99.824
2012-04-01	100.235
2012-07-01	100.135
2012-10-01	99.812
2013-01-01	100.362
2013-04-01	100.039
2013-07-01	100.508
2013-10-01	101.208
2014-01-01	100.190
2014-04-01	101.145
2014-07-01	102.036
2014-10-01	101.470
2015-01-01	102.344
2015-04-01	102.635
2015-07-01	102.613
2015-10-01	102.208
2016-01-01	102.552
2016-04-01	102.476
2016-07-01	102.893
2016-10-01	103.489
2017-01-01	103.580
2017-04-01	103.506
2017-07-01	104.327
2017-10-01	104.779
